ID товара	Рейтинг
1	2
2	1
3	1
4	5
5	5
6	4
7	2
8	1
9	3
10	2
11	3
12	1
13	1
14	4
15	2
16	5
17	4
18	1
19	5
20	4
21	5
22	3
23	1
24	5
25	3
26	1
27	2
28	1
29	2
30	1
31	5
32	5
33	1
34	1
35	1
36	4
37	5
38	2
39	4
40	3
41	1
42	5
43	5
44	1
45	1
46	2
47	3
48	1
49	1
50	4
51	1
52	1
53	4
54	2
55	5
56	3
57	3
58	5
59	2
60	1
61	4
62	3
63	3
64	2
65	5
66	3
67	3
68	4
69	4
70	1
71	5
72	2
73	1
74	2
75	2
76	4
77	4
78	3
79	4
80	1
81	1
82	4
83	5
84	1
85	3
86	2
87	4
88	3
89	4
90	5
91	4
92	2
93	4
94	3
95	3
96	5
97	3
98	4
99	2
100	3
